vis,aot
0.5,11.691855943014895
1.0,5.8418559430149015
1.5,3.8918559430149009
2.0,2.9168559430148986
2.5,2.3318559430148991
3.0,1.9418559430148989
3.5,1.6628559430148993
4.0,1.4543559430148989
4.5,1.2919059430148991
5.0,1.1618559430148989
5.5,1.0552059430148988
6.0,0.96640594301489913
6.5,0.89110594301489876
7.0,0.82675594301489885
7.5,0.7708059430148988
8.0,0.72205594301489895
8.5,0.67885594301489882
9.0,0.64045594301489883
9.5,0.60625594301489882
10.0,0.5753559430148989
10.5,0.54245594301489886
11.0,0.51260594301489881
11.5,0.48525594301489894
12.0,0.46025594301489892
12.5,0.4372559430148989
13.0,0.41595594301489891
13.5,0.39625594301489897
14.0,0.37800594301489887
14.5,0.36100594301489886
15.0,0.34510594301489905
15.5,0.33030594301489902
16.0,0.316355943014899
16.5,0.303255943014899
17.0,0.29095594301489902
17.5,0.27935594301489897
18.0,0.26835594301489896
18.5,0.25805594301489898
19.0,0.24815594301489899
19.5,0.23880594301489902
20.0,0.23000594301489899
20.5,0.22160594301489903
21.0,0.21355594301489902
21.5,0.20590594301489898
22.0,0.19860594301489901
22.5,0.19165594301489899
23.0,0.18495594301489901
23.5,0.17834594301489895
24.0,0.17204594301489898
24.5,0.16592594301489896
25.0,0.160135943014899
25.5,0.15450594301489898
26.0,0.14914594301489895
26.5,0.14396594301489898
27.0,0.138985943014899
27.5,0.13413594301489898
28.0,0.12951594301489897
28.5,0.125055943014899
29.0,0.12071594301489899
29.5,0.11652594301489891
30.0,0.11248594301489898
30.5,0.10859594301489892
31.0,0.10484594301489894
31.5,0.10119594301489895
32.0,0.097615943014898926
32.5,0.094215943014898967
33.0,0.090895943014898922
33.5,0.087645943014898947
34.0,0.084515943014898925
34.5,0.081445943014898964
35.0,0.078495943014898956
35.5,0.075640943014898904
36.0,0.072850943014898945
36.5,0.070130943014898944
37.0,0.067480943014898959
37.5,0.064915943014898919
38.0,0.062395943014898952
38.5,0.059970943014898886
39.0,0.057585943014898971
39.5,0.05526094301489895
40.0,0.053015943014898953
40.5,0.050805943014898963
41.0,0.048650943014899001
41.5,0.046560943014898909
42.0,0.044520943014898923
42.5,0.042515943014898944
43.0,0.040555943014898982
43.5,0.038655943014898914
44.0,0.036770943014898944
44.5,0.034950943014898955
45.0,0.033175943014898929
45.5,0.031420943014898922
46.0,0.029715943014898966
46.5,0.028040943014898984
47.0,0.02641594301489894
47.5,0.024820943014898927
48.0,0.023245943014898934
48.5,0.021730943014898946
49.0,0.020220943014898934
49.5,0.018750943014898963
50.0,0.017305943014898933
50.5,0.015890943014898934
51.0,0.014515943014898919
51.5,0.013134943014898953
52.0,0.011808943014898959
52.5,0.010508943014898936
53.0,0.0092259430148989574
53.5,0.0079679430148989761
54.0,0.0067319430148989612
54.5,0.0055119430148989068
55.0,0.004317943014898934
55.5,0.0031499430148989316
56.0,0.0020029430148989225
56.5,0.00087794301489893534
57.0,-0.00023705698510104178
57.5,-0.0013160569851010384
58.0,-0.0023940569851010618
58.5,-0.0034510569851010364
59.0,-0.0044730569851010593
59.5,-0.0054930569851010247
60.0,-0.0065020569851010623
60.5,-0.0074910569851010245
61.0,-0.0084490569851010389
61.5,-0.0094060569851010245
62.0,-0.010337056985101095
62.5,-0.011253056985101068
63.0,-0.012168056985101067
63.5,-0.013052056985101063
64.0,-0.013936056985101059
64.5,-0.014793056985101055
65.0,-0.015651056985101081
65.5,-0.016487056985101056
66.0,-0.017303056985101067
66.5,-0.018128056985101088
67.0,-0.01892305698510105
67.5,-0.019717056985101067
68.0,-0.020501056985101115
68.5,-0.021265056985101116
69.0,-0.02202205698510111
69.5,-0.022768056985101107
70.0,-0.023502056985101119
70.5,-0.024224056985101119
71.0,-0.024934056985101122
71.5,-0.025638056985101118
72.0,-0.026330056985101116
72.5,-0.027015056985101121
73.0,-0.02769005698510113
73.5,-0.028357056985101117
74.0,-0.029003056985101097
74.5,-0.029662056985101118
75.0,-0.030300056985101104
75.5,-0.03093105698510111
76.0,-0.031556056985101111
76.5,-0.032165056985101123
77.0,-0.03277205698510112
77.5,-0.033368056985101119
78.0,-0.033958056985101112
78.5,-0.034536056985101107
79.0,-0.035118056985101107
79.5,-0.035690056985101096
